TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,datetime,hour_news_stat,day_news_stat,3days_news_stat,week_news_stat,month_news_stat,day,day_of_week,Mean_1d,Max_1d,Min_1d,Std_1d,Range_1d,Mean_3d,Max_3d,Min_3d,Std_3d,Range_3d,Mean_7d,Max_7d,Min_7d,Std_7d,Range_7d
SBER,60,20240315,110000,295.75,297.51,295.29,296.76,4999740,2024-03-15 11:00:00,0.0,0.42857142857142855,0.2,0.2,0.2,15,4,298.64416666666665,299.7,296.76,0.818816307194416,2.9399999999999977,296.98625,299.7,292.32,1.770811413838388,7.3799999999999955,296.65749999999997,301.14,292.32,2.3064485881589167,8.819999999999993
SBER,60,20240315,120000,296.76,296.8,296.42,296.77,1337480,2024-03-15 12:00:00,1.0,0.5,0.23809523809523808,0.23809523809523808,0.23809523809523808,15,4,298.64416666666665,299.7,296.76,0.818816307194416,2.9399999999999977,296.98625,299.7,292.32,1.770811413838388,7.3799999999999955,296.65749999999997,301.14,292.32,2.3064485881589167,8.819999999999993
SBER,60,20240315,130000,296.78,297.48,296.74,297.09,1520810,2024-03-15 13:00:00,1.0,0.5,0.2727272727272727,0.2727272727272727,0.2727272727272727,15,4,298.64416666666665,299.7,296.76,0.818816307194416,2.9399999999999977,296.98625,299.7,292.32,1.770811413838388,7.3799999999999955,296.65749999999997,301.14,292.32,2.3064485881589167,8.819999999999993
SBER,60,20240315,140000,297.1,297.9,297.05,297.89,1842330,2024-03-15 14:00:00,0.0,0.42857142857142855,0.2727272727272727,0.2727272727272727,0.2727272727272727,15,4,298.64416666666665,299.7,296.76,0.818816307194416,2.9399999999999977,296.98625,299.7,292.32,1.770811413838388,7.3799999999999955,296.65749999999997,301.14,292.32,2.3064485881589167,8.819999999999993
SBER,60,20240315,150000,297.85,299.44,297.8,299.16,5309240,2024-03-15 15:00:00,0.0,0.42857142857142855,0.2727272727272727,0.2727272727272727,0.2727272727272727,15,4,298.64416666666665,299.7,296.76,0.818816307194416,2.9399999999999977,296.98625,299.7,292.32,1.770811413838388,7.3799999999999955,296.65749999999997,301.14,292.32,2.3064485881589167,8.819999999999993
SBER,60,20240315,160000,299.16,299.44,298.8,298.85,2432380,2024-03-15 16:00:00,0.0,0.42857142857142855,0.2727272727272727,0.2727272727272727,0.2727272727272727,15,4,298.64416666666665,299.7,296.76,0.818816307194416,2.9399999999999977,296.98625,299.7,292.32,1.770811413838388,7.3799999999999955,296.65749999999997,301.14,292.32,2.3064485881589167,8.819999999999993
SBER,60,20240315,170000,298.86,299.0,298.5,298.86,1369240,2024-03-15 17:00:00,0.0,0.42857142857142855,0.2727272727272727,0.2727272727272727,0.2727272727272727,15,4,298.64416666666665,299.7,296.76,0.818816307194416,2.9399999999999977,296.98625,299.7,292.32,1.770811413838388,7.3799999999999955,296.65749999999997,301.14,292.32,2.3064485881589167,8.819999999999993
SBER,60,20240315,180000,298.85,299.3,298.61,299.26,1890510,2024-03-15 18:00:00,0.0,0.42857142857142855,0.2727272727272727,0.2727272727272727,0.2727272727272727,15,4,298.64416666666665,299.7,296.76,0.818816307194416,2.9399999999999977,296.98625,299.7,292.32,1.770811413838388,7.3799999999999955,296.65749999999997,301.14,292.32,2.3064485881589167,8.819999999999993
SBER,60,20240315,190000,299.27,299.27,298.6,298.6,1661340,2024-03-15 19:00:00,0.0,0.42857142857142855,0.2727272727272727,0.2727272727272727,0.2727272727272727,15,4,298.64416666666665,299.7,296.76,0.818816307194416,2.9399999999999977,296.98625,299.7,292.32,1.770811413838388,7.3799999999999955,296.65749999999997,301.14,292.32,2.3064485881589167,8.819999999999993
SBER,60,20240315,200000,298.61,298.93,298.5,298.51,608930,2024-03-15 20:00:00,0.0,0.42857142857142855,0.2727272727272727,0.2727272727272727,0.2727272727272727,15,4,298.64416666666665,299.7,296.76,0.818816307194416,2.9399999999999977,296.98625,299.7,292.32,1.770811413838388,7.3799999999999955,296.65749999999997,301.14,292.32,2.3064485881589167,8.819999999999993
